trip_date,total_trips,active_vendors,total_passengers,avg_passengers,total_fares,total_tips,total_tolls,total_revenue,average_fare
2024-08-14,99517,2,122194,1.29,1871289.86,330277.20,54988.52,2738421.46,18.80
2024-08-15,101508,2,124647,1.31,1961441.67,337262.30,59750.76,2848761.73,19.32
2024-08-16,94670,2,122183,1.38,1820519.49,305230.20,58642.42,2638238.21,19.23
2024-08-17,93632,2,123065,1.46,1790859.02,281726.41,45925.63,2510100.68,19.13
2024-08-18,83786,2,105849,1.44,1693404.78,264966.27,55342.58,2368167.35,20.21
2024-08-19,84689,2,104973,1.31,1818716.01,307542.28,66518.50,2610097.81,21.48
2024-08-20,93254,2,115448,1.30,1863053.37,321471.99,60125.77,2701265.96,19.98
2024-08-21,94282,2,117075,1.31,1829812.43,318588.20,56287.10,2662625.76,19.41
2024-08-22,96048,2,119785,1.32,1933744.10,332081.66,62038.56,2794685.22,20.13
2024-08-23,91707,2,118417,1.37,1810473.89,308095.84,59256.32,2624363.91,19.74
2024-08-24,90672,2,122140,1.46,1746080.11,279578.08,50432.54,2458580.05,19.26
2024-08-25,84044,2,109435,1.44,1755545.37,283954.96,63883.05,2469651.03,20.89
2024-08-26,85965,2,106492,1.33,1738208.49,289668.26,61772.66,2501694.78,20.22
2024-08-27,94487,2,115955,1.31,1827513.93,313320.77,57395.54,2653745.74,19.34
2024-08-28,104409,2,126396,1.31,2020920.59,343287.96,63638.07,2931277.65,19.36
2024-08-29,100610,2,122900,1.33,2043135.12,344135.18,70822.96,2946126.01,20.31
2024-08-30,93891,2,119554,1.40,1922447.48,315360.66,69398.00,2761844.04,20.48
2024-08-31,89843,2,122996,1.50,1798544.13,285165.62,57919.32,2517445.57,20.02
2024-09-01,89523,2,113939,1.49,1853249.23,276687.31,63278.09,2567493.64,20.70
2024-09-02,80350,2,99933,1.44,1827972.04,288801.60,79293.15,2549490.98,22.75
2024-09-03,102941,2,122886,1.29,2155919.78,370330.53,74241.94,3104462.98,20.94
2024-09-04,118444,2,137330,1.27,2380174.66,414278.40,61710.66,3429944.76,20.10
2024-09-05,130205,2,147409,1.27,2619884.40,443333.38,70199.35,3762178.58,20.12
2024-09-06,128699,2,145924,1.31,2517098.36,413086.98,67925.92,3613319.04,19.56
2024-09-07,124682,2,147544,1.39,2416563.35,371868.80,56096.07,3368412.44,19.38
2024-09-08,112615,2,127293,1.36,2312725.01,358726.41,76571.04,3233248.63,20.54
2024-09-09,108255,2,121423,1.25,2192362.12,373938.18,72529.95,3164819.60,20.25
2024-09-10,121656,2,131498,1.24,2425115.39,404328.53,63856.16,3476471.49,19.93
2024-09-11,120377,2,132894,1.24,2309342.58,403057.48,61562.50,3354820.61,19.18
2024-09-12,138518,2,151013,1.25,2738830.12,467126.01,75799.26,3953824.93,19.77
2024-09-13,129326,2,142066,1.31,2476118.12,396956.88,67685.69,3557197.49,19.15
2024-09-14,133512,2,151430,1.41,2500665.46,364208.84,56300.53,3475572.40,18.73
2024-09-15,113829,2,125584,1.38,2408870.14,355129.54,78696.74,3326948.65,21.16
2024-09-16,107236,2,120362,1.25,2158302.95,372541.77,74311.59,3130373.46,20.13
2024-09-17,128187,2,139622,1.24,2435878.58,426175.18,66866.77,3550101.60,19.00
2024-09-18,135042,2,146406,1.24,2620745.37,457305.01,70883.10,3804441.13,19.41
2024-09-19,142742,2,153074,1.25,2861186.03,482218.46,79423.44,4113734.62,20.04
2024-09-20,135399,2,150336,1.31,2682676.03,439513.79,74547.40,3846166.27,19.81
2024-09-21,137833,2,157299,1.39,2679883.45,400965.97,58849.24,3715815.61,19.44
2024-09-22,116770,2,134534,1.35,2475633.69,399102.66,82225.80,3462292.09,21.20
2024-09-23,111608,3,123649,1.25,2350811.75,401676.16,73445.38,3367545.29,21.06
2024-09-24,116244,3,126428,1.23,2391211.24,411969.73,64787.95,3429550.62,20.57
2024-09-25,124110,3,134113,1.23,2555548.75,446471.12,70390.05,3676488.95,20.59
2024-09-26,132781,3,147388,1.25,2777874.79,488568.22,79756.98,3997795.67,20.92
2024-09-27,124348,3,144892,1.31,2438049.60,421414.93,71744.71,3534216.50,19.61
2024-09-28,142350,3,168756,1.40,2604441.88,412429.28,53309.24,3666540.32,18.30
2024-09-29,119564,3,135870,1.37,2350538.17,377118.49,74511.53,3316727.02,19.66
2024-09-30,104706,3,122336,1.25,2131789.57,381859.04,73929.11,3103290.63,20.36
